Test_Case,Security,Producer_Rate,Message_Size,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC01,Non-Secure,100.0,100.0,2.8624,2.9777,3.4818,4.3025,29781.6,2.97816,308.8,0.009649692689321292
TC01,Secure,100.0,100.0,6.1937,7.298400000000001,9.0533,11.0681,30409.7,3.04097,538.3,0.0056504005938452315
TC02,Non-Secure,100.0,1024.0,2.909,3.1811,3.6321,4.7127,30079.6,30.8015104,307.3,0.10023292789035068
TC02,Secure,100.0,1024.0,6.3474,7.5055000000000005,9.3733,11.866,30303.4,31.030681599999998,540.0,0.05747691547356924
TC03,Non-Secure,100.0,10240.0,3.3179000000000003,3.5075000000000003,3.9781,6.5191,30065.3,307.86867199999995,307.1,1.0025039380684462
TC03,Secure,100.0,10240.0,6.5411,7.6377,9.515600000000001,12.004,30875.8,316.168192,526.7,0.6005182438627139
TC04,Non-Secure,100.0,102400.0,3.8457,4.0389,4.7667,7.1402,30061.6,3078.30784,307.1,10.02380578535471
TC04,Secure,100.0,102400.0,6.8985,8.0618,10.2192,12.983699999999999,30318.4,3104.60416,519.2,5.981575460176012
TC05,Non-Secure,1000.0,100.0,1.9126999999999998,2.784,3.308,4.419,300658.5,30.06585,307.2,0.09787077181775879
TC05,Secure,1000.0,100.0,5.4030000000000005,6.6661,9.0133,11.2279,308552.2,30.855219999999996,515.6,0.05984344033383512
TC06,Non-Secure,1000.0,1024.0,2.5244,3.3152,4.889799999999999,8.7633,300717.2,307.93441279999996,307.3,1.0020666945302255
TC06,Secure,1000.0,1024.0,5.9665,7.358199999999999,9.8292,12.668099999999999,310206.5,317.65145599999994,517.3,0.6140614391905183
TC07,Non-Secure,1000.0,10240.0,3.3064999999999998,4.2661,5.593999999999999,11.2247,300658.8,3078.746112,307.3,10.018720006768476
TC07,Secure,1000.0,10240.0,6.209899999999999,7.6218,10.197700000000001,13.615099999999998,305015.2,3123.3556479999997,528.4,5.915449037217534
TC08,Non-Secure,1000.0,102400.0,6.7933,8.2897,18.185499999999998,59.6922,300644.0,30785.9456,307.1,100.24739694234104
TC08,Secure,1000.0,102400.0,13.220699999999999,16.024,25.4369,71.9672,306264.6,31361.495039999998,519.9,60.32237064886052
TC09,Non-Secure,10000.0,100.0,3.1675999999999997,3.8317,4.9901,7.4938,3006235.2,300.62352,307.2,0.9785938283133804
TC09,Secure,10000.0,100.0,5.6301000000000005,6.8248999999999995,9.0533,11.5631,3040050.0,304.00505999999996,521.2,0.5835480741002542
TC10,Non-Secure,10000.0,1024.0,3.4244,4.1551,5.652,8.600999999999999,3006664.8,3078.8247552,307.3,10.018977462261516
TC10,Secure,10000.0,1024.0,6.1235,7.382900000000001,9.7245,12.4643,3068825.3,3142.4771072,529.5,5.937921220652407
TC11,Non-Secure,10000.0,10240.0,8.4067,10.2038,24.4447,69.5774,3006421.9,30785.760255999998,307.2,100.214234204831
TC11,Secure,10000.0,10240.0,13.037700000000001,15.850800000000001,28.4428,78.4658,3063637.3,31371.638784,519.1,60.435399056748714
TC12,Non-Secure,10000.0,102400.0,224.9228,812.5676000000001,14069.112599999999,15450.847,145261.0,14874.7264,316.6,46.980046202705765
TC12,Secure,10000.0,102400.0,26.794100000000004,131.8202,8352.575,9632.655,242744.6,24857.047039999998,523.1,47.5345703052289
